epoch,accuracy,loss,val_accuracy,val_loss
0,0.40731293,1.684304945322932,0.6015625,1.1063708327710629
1,0.6985544,0.9274457496445195,0.77734375,0.7806260921061039
2,0.7823129,0.7238410644385279,0.79296875,0.6482121106237173
3,0.8125,0.627948484858688,0.796875,0.6212010961025953
4,0.8188776,0.6013795987886636,0.8125,0.6104455199092627
5,0.8567177,0.5115563489344656,0.84765625,0.5265718400478363
6,0.87287414,0.4476198238783142,0.85546875,0.46913875732570887
7,0.8839286,0.4244950062969104,0.859375,0.46508456487208605
8,0.89115644,0.38140054300528803,0.85546875,0.4425740344449878
9,0.9090136,0.3463718986936978,0.83984375,0.5152390119619668
10,0.89540815,0.3766527381174418,0.87109375,0.4507830119691789
11,0.9094388,0.3395996113010004,0.83203125,0.49688156694173813
12,0.9085884,0.34156776067553735,0.86328125,0.44764408841729164
13,0.8894558,0.36627218365466513,0.86328125,0.5004965662956238
14,0.8835034,0.4037962064248364,0.8125,0.5211246553808451
15,0.89115644,0.3710354402357218,0.85546875,0.45753778144717216
16,0.9047619,0.31843830908642334,0.8671875,0.5211728070862591
17,0.91369045,0.30700818641858846,0.8828125,0.4101454885676503
18,0.9132653,0.3058072202870635,0.87890625,0.40209566056728363
19,0.92134356,0.28073761191497854,0.890625,0.4266082337126136
20,0.9366497,0.2410261114032901,0.8671875,0.46055823285132647
21,0.93622446,0.2478242404505509,0.87890625,0.42169595835730433
22,0.9230442,0.28296641714009296,0.84765625,0.45087618893012404
23,0.920068,0.2806516670856346,0.85546875,0.4638073721434921
24,0.914966,0.29480429637391553,0.86328125,0.47309076692909
25,0.8932823,0.351310703979463,0.84765625,0.4752372419461608
26,0.917517,0.29942749440670013,0.83984375,0.4773784810677171
27,0.9183673,0.29699000911343665,0.83984375,0.4730199594050646
28,0.917517,0.2919405210940611,0.859375,0.4705194812268019
29,0.92091835,0.2737485077105412,0.86328125,0.5046104672364891
