epoch,accuracy,loss,val_accuracy,val_loss
0,0.3056973,1.9201890481572572,0.63671875,1.2317063696682453
1,0.5994898,1.1918951970379368,0.71484375,0.9043365977704525
2,0.69430274,0.9459120148704165,0.72265625,0.901754779741168
3,0.7215136,0.8510695894559225,0.796875,0.6930102314800024
4,0.7784864,0.7067929958405138,0.76171875,0.7975081820040941
5,0.7772109,0.7007078548677924,0.78515625,0.6876283790916204
6,0.77933675,0.6837176007478416,0.8125,0.59919723123312
7,0.79294217,0.6518387840110429,0.76953125,0.698544092476368
8,0.79591835,0.6410581820270642,0.83203125,0.560068666934967
9,0.81207484,0.6110990340409636,0.8203125,0.5377629483118653
10,0.8154762,0.580906880550644,0.828125,0.5220748148858547
11,0.82185376,0.5541421810583192,0.8203125,0.5439080754294991
12,0.8367347,0.5149799241703383,0.8359375,0.5222626756876707
13,0.8494898,0.4701841824314221,0.82421875,0.538916421122849
14,0.8397109,0.51500404337231,0.83984375,0.46248697582632303
15,0.84438777,0.4909966879961442,0.859375,0.481071375310421
16,0.86096936,0.4631073677114078,0.81640625,0.5740266321226954
17,0.8669218,0.4373666317183144,0.8515625,0.5019719488918781
18,0.86989796,0.4181546789346909,0.8515625,0.5009221788495779
19,0.87882656,0.38337629460761335,0.859375,0.49086261074990034
20,0.8852041,0.3859939381581585,0.87890625,0.40665996726602316
21,0.89625853,0.36357581093400515,0.89453125,0.37697763182222843
22,0.897534,0.34501450964990926,0.8828125,0.41426054295152426
23,0.88435376,0.3668252208403179,0.89453125,0.38596355728805065
24,0.875,0.38877474313893284,0.875,0.3983868509531021
25,0.8830782,0.35561620986380543,0.875,0.39109472651034594
26,0.8877551,0.35696155506940114,0.87890625,0.36517293099313974
27,0.8852041,0.37240223733543537,0.8828125,0.3857710403390229
28,0.88435376,0.3642288879269645,0.84375,0.5333252865821123
29,0.8758503,0.37758687749302305,0.875,0.41463584639132023
