epoch,accuracy,loss,val_accuracy,val_loss
0,0.5705782,1.341562342887022,0.7109375,0.9353196546435356
1,0.72959185,0.8380874790707413,0.7421875,0.8448360301554203
2,0.80654764,0.6635640885959677,0.859375,0.5672772508114576
3,0.8405612,0.5607146082483992,0.7734375,0.942452859133482
4,0.8452381,0.5425020058949789,0.84765625,0.5129470769315958
5,0.872449,0.47067429480098544,0.87109375,0.48348234966397285
6,0.8847789,0.4144756378872054,0.87890625,0.4834940657019615
7,0.88903064,0.3952788600609416,0.82421875,0.5344395115971565
8,0.89880955,0.37940344204302545,0.84375,0.5160401966422796
9,0.9051871,0.34462106461022174,0.9140625,0.3621386354789138
10,0.91964287,0.3147570648465027,0.90234375,0.3997921491973102
11,0.91411567,0.3233266917317092,0.859375,0.46887975465506315
12,0.9447279,0.2492062719095321,0.8984375,0.41129595693200827
13,0.9204932,0.29816635540958975,0.81640625,0.6928548347204924
14,0.9060374,0.3411953676821423,0.8515625,0.5269223982468247
15,0.9221939,0.2959864734082806,0.8515625,0.5535400882363319
16,0.9221939,0.2929380744391558,0.8828125,0.46300727501511574
17,0.9404762,0.2429010792046177,0.8671875,0.5034398902207613
18,0.92091835,0.29247656145266127,0.8359375,0.5474031697958708
19,0.92431974,0.2781585152355992,0.8828125,0.4450926296412945
20,0.9519558,0.2067790267875,0.87890625,0.5056174173951149
21,0.9383503,0.24424744057817524,0.828125,0.6242073681205511
22,0.92431974,0.27343537146542346,0.8828125,0.4680509753525257
23,0.96258503,0.17941362849202286,0.89453125,0.4405848477035761
24,0.95705783,0.1824924706601772,0.89453125,0.5162835465744138
25,0.9545068,0.18505675490109288,0.890625,0.46267739962786436
26,0.9676871,0.16218139251478675,0.890625,0.49225842114537954
27,0.9647109,0.15425698509832628,0.8671875,0.5147434752434492
28,0.9532313,0.1952947149065887,0.8828125,0.5586082302033901
29,0.9438776,0.23128905007932463,0.875,0.4988693865016103
